127.0.0.1 - - [10/Nov/2022:21:32:53 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:32:55 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:33:17 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:33:17 -0300] "GET /FinTechServelts/recources/css/style-global.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:33:17 -0300] "GET /FinTechServelts/recources/css/style-index.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:33:17 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:33:17 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:33:17 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:33:17 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:35:57 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:35:57 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:35:57 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:35:57 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:35:57 -0300] "GET /FinTechServelts/recources/css/style-index.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:35:57 -0300] "GET /FinTechServelts/recources/css/style-global.css HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [10/Nov/2022:21:35:57 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
